#header: N, best P naive algorithm , best P for enhanced algorithm if any

####
7930000   ,  [88],   XXX
7940000   ,  [88],   XXX
7950000   ,  [88],   XXX
7960000   ,  [88],   XXX
7970000   ,  [88],   XXX
7980000   ,  [88],   XXX
7990000   ,  [88],   XXX
8000000   ,  [88],   XXX
8010000   ,  [88],   XXX
8020000   ,  [89],   XXX
8030000   ,  [89],   XXX
8040000   ,  [89],   XXX
8050000   ,  [89],   XXX
8060000   ,  [89],   XXX
8070000   ,  [89],   XXX
8080000   ,  [89],   XXX
8090000   ,  [89],   XXX
8100000   ,  [89],   XXX
8110000   ,  [89],   XXX
8120000   ,  [89],   XXX
8130000   ,  [89],   XXX
8140000   ,  [89],   XXX
8150000   ,  [89],   XXX
8160000   ,  [89],   XXX
8170000   ,  [89],   XXX
8180000   ,  [89],   XXX
8190000   ,  [89],   XXX
8200000   ,  [90],   XXX
8210000   ,  [90],   XXX
8220000   ,  [90],   XXX
8230000   ,  [90],   XXX
8240000   ,  [90],   XXX
8250000   ,  [90],   XXX
8260000   ,  [90],   XXX
8270000   ,  [90],   XXX
8280000   ,  [90],   XXX
8290000   ,  [90],   XXX
8300000   ,  [90],   XXX
8310000   ,  [90],   XXX
8320000   ,  [90],   XXX
8330000   ,  [90],   XXX
8340000   ,  [90],   XXX
8350000   ,  [90],   XXX
8360000   ,  [90],   XXX
8370000   ,  [90],   XXX
8380000   ,  [90],   XXX
8390000   ,  [91],   XXX
8400000   ,  [91],   XXX
8410000   ,  [91],   XXX
8420000   ,  [91],   XXX
8430000   ,  [91],   XXX
8440000   ,  [91],   XXX
8450000   ,  [91],   XXX
8460000   ,  [91],   XXX
8470000   ,  [91],   XXX
8480000   ,  [91],   XXX
8490000   ,  [91],   XXX
8500000   ,  [91],   XXX
8510000   ,  [91],   XXX
8520000   ,  [91],   XXX
8530000   ,  [91],   XXX
8540000   ,  [91],   XXX
8550000   ,  [91],   XXX
8560000   ,  [91],   XXX
8570000   ,  [92],   XXX
8580000   ,  [92],   XXX
8590000   ,  [92],   XXX
8600000   ,  [92],   XXX
8610000   ,  [92],   XXX
8620000   ,  [92],   XXX
8630000   ,  [92],   XXX
8640000   ,  [92],   XXX
8650000   ,  [92],   XXX
8660000   ,  [92],   XXX
8670000   ,  [92],   XXX
8680000   ,  [92],   XXX
8690000   ,  [92],   XXX
8700000   ,  [92],   XXX
8710000   ,  [92],   XXX
8720000   ,  [92],   XXX
8730000   ,  [92],   XXX
8740000   ,  [92],   XXX
8750000   ,  [92],   XXX
8760000   ,  [93],   XXX
8770000   ,  [93],   XXX
8780000   ,  [93],   XXX
8790000   ,  [93],   XXX
8800000   ,  [93],   XXX
8810000   ,  [93],   XXX
8820000   ,  [93],   XXX
8830000   ,  [93],   XXX
8840000   ,  [93],   XXX
8850000   ,  [93],   XXX
8860000   ,  [93],   XXX
8870000   ,  [93],   XXX
8880000   ,  [93],   XXX
8890000   ,  [93],   XXX
8900000   ,  [93],   XXX
8910000   ,  [93],   XXX
8920000   ,  [93],   XXX
8930000   ,  [93],   XXX
8940000   ,  [94],   XXX
8950000   ,  [94],   XXX
8960000   ,  [94],   XXX
8970000   ,  [94],   XXX
8980000   ,  [94],   XXX
8990000   ,  [94],   XXX
9000000   ,  [94],   XXX
9010000   ,  [94],   XXX
9020000   ,  [94],   XXX
9030000   ,  [94],   XXX
9040000   ,  [94],   XXX
9050000   ,  [94],   XXX
9060000   ,  [94],   XXX
9070000   ,  [94],   XXX
9080000   ,  [94],   XXX
9090000   ,  [94],   XXX
9100000   ,  [94],   XXX
9110000   ,  [94],   XXX
9120000   ,  [94],   XXX
9130000   ,  [95],   XXX
9140000   ,  [95],   XXX
9150000   ,  [95],   XXX
9160000   ,  [95],   XXX
9170000   ,  [95],   XXX
9180000   ,  [95],   XXX
9190000   ,  [95],   XXX
9200000   ,  [95],   XXX
9210000   ,  [95],   XXX
9220000   ,  [95],   XXX
9230000   ,  [95],   XXX
9240000   ,  [95],   XXX
9250000   ,  [95],   XXX
9260000   ,  [95],   XXX
9270000   ,  [95],   XXX
